"id_prov";"id_kab";"id_gol_luas_lahan";"id_kec";"prov";"kab";"kec";"gol_luas_lahan";"n_rtup_gol_luas_lahan_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310071] MAGEPANDA";"53";"5310";"5310071";"<1000";"525"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1000-1999";"393"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2000-4999";"761"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310071] MAGEPANDA";"53";"5310";"5310071";"5000-9999";"444"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310071] MAGEPANDA";"53";"5310";"5310071";"10000-19999";"270"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310071] MAGEPANDA";"53";"5310";"5310071";"20000-29999";"61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310071] MAGEPANDA";"53";"5310";"5310071";">=30000";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310080] ALOK";"53";"5310";"5310080";"<1000";"1670"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310080] ALOK";"53";"5310";"5310080";"1000-1999";"407"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310080] ALOK";"53";"5310";"5310080";"2000-4999";"290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310080] ALOK";"53";"5310";"5310080";"5000-9999";"131"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310080] ALOK";"53";"5310";"5310080";"10000-19999";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310080] ALOK";"53";"5310";"5310080";"20000-29999";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310080] ALOK";"53";"5310";"5310080";">=30000";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310081] ALOK BARAT";"53";"5310";"5310081";"<1000";"1735"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1000-1999";"349"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2000-4999";"263"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5000-9999";"108"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310081] ALOK BARAT";"53";"5310";"5310081";"10000-19999";"86"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310081] ALOK BARAT";"53";"5310";"5310081";"20000-29999";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310081] ALOK BARAT";"53";"5310";"5310081";">=30000";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"<1000";"1384"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1000-1999";"305"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2000-4999";"514"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"5000-9999";"481"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"10000-19999";"290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"20000-29999";"38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310082] ALOK TIMUR";"53";"5310";"5310082";">=30000";"12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310] SIKKA";"53";"5310";"5310999";"<1000";"11049"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310] SIKKA";"53";"5310";"5310999";"1000-1999";"6281"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310] SIKKA";"53";"5310";"5310999";"2000-4999";"12772"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310] SIKKA";"53";"5310";"5310999";"5000-9999";"11268"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310] SIKKA";"53";"5310";"5310999";"10000-19999";"7014"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310] SIKKA";"53";"5310";"5310999";"20000-29999";"1609"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310] SIKKA";"53";"5310";"5310999";">=30000";"677"
