tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_usaha_selain_ternak_besar_produksi_daging;n_rtup_usaha_selain_ternak_besar_produksi_susu_segar;n_rtup_usaha_selain_ternak_besar_produksi_telur_konsumsi;n_rtup_usaha_selain_ternak_besar_produksi_telur_tetas;n_rtup_usaha_selain_ternak_besar_produksi_semen_ternak;n_rtup_usaha_selain_ternak_besar_produksi_embrio;n_rtup_usaha_selain_ternak_besar_produksi_madu;n_rtup_usaha_selain_ternak_besar_produksi_liur_atau_sarang;n_rtup_usaha_selain_ternak_besar_produksi_bulu;n_rtup_usaha_selain_ternak_besar_produksi_kepompong;n_rtup_usaha_selain_ternak_besar_produksi_kulit;n_rtup_usaha_selain_ternak_besar_produksi_lilin_malam;jumlah;n_rtup_usaha_selain_ternak_besar
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310082] ALOK TIMUR;53;5310;5310082;633;0;0;0;0;0;0;0;0;0;0;0;633;633
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310] SIKKA;53;5310;5310999;8974;0;0;0;0;0;0;0;0;0;2;0;8976;8976
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4204;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0;0;0;0;0;0;0
