"id_prov";"id_kab";"id_kategori_luas_lahan";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan";"n_utp_kategori_luas_lahan";"n_upb_kategori_luas_lahan";"n_utl_kategori_luas_lahan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310041] WAIGETE";"53";"5310";"5310041";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310041] WAIGETE";"53";"5310";"5310041";"5-9,99";"7.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310041] WAIGETE";"53";"5310";"5310041";"Usaha Pertanian Tanpa Lahan Pertanian";"79.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310041] WAIGETE";"53";"5310";"5310041";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"4887.00";"2.00";"2.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"< 1";"906.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310042] WAIBLAMA";"53";"5310";"5310042";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310042] WAIBLAMA";"53";"5310";"5310042";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310042] WAIBLAMA";"53";"5310";"5310042";"10-19,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1-1,99";"614.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310042] WAIBLAMA";"53";"5310";"5310042";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310042] WAIBLAMA";"53";"5310";"5310042";"20-49,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310042] WAIBLAMA";"53";"5310";"5310042";"2-4,99";"144.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310042] WAIBLAMA";"53";"5310";"5310042";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310042] WAIBLAMA";"53";"5310";"5310042";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5-9,99";"9.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Usaha Pertanian Tanpa Lahan Pertanian";"5.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310042] WAIBLAMA";"53";"5310";"5310042";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"1675.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"< 1";"1882.00";"0.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310050] KEWAPANTE";"53";"5310";"5310050";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310050] KEWAPANTE";"53";"5310";"5310050";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310050] KEWAPANTE";"53";"5310";"5310050";"10-19,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1-1,99";"119.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310050] KEWAPANTE";"53";"5310";"5310050";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310050] KEWAPANTE";"53";"5310";"5310050";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2-4,99";"28.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310050] KEWAPANTE";"53";"5310";"5310050";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310050] KEWAPANTE";"53";"5310";"5310050";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5-9,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Usaha Pertanian Tanpa Lahan Pertanian";"105.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"2030.00";"0.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"< 1";"1447.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310051] HEWOKLOANG";"53";"5310";"5310051";">=1000";"0.00";"0.00";"0.00"
